DEST_CITY,DEST_CITY_ENCODED
"Vernal, UT",350
"Hancock/Houghton, MI",141
"Hagerstown, MD",140
"Santa Maria, CA",311
"Johnstown, PA",168
"Fort Leonard Wood, MO",119
"Adak Island, AK",2
"Pago Pago, TT",257
"Dickinson, ND",93
"Walla Walla, WA",353
"Owensboro, KY",255
"Wilmington, DE",366
"Branson, MO",44
"Hyannis, MA",156
"Quincy, IL",281
"St. Cloud, MN",328
"Ogden, UT",249
"Greenville, NC",134
"Bishop, CA",37
"Florence, SC",116
"Cold Bay, AK",71
"Watertown, NY",356
"Williamsport, PA",364
